timestamp,symbol,prob_buy,prob_hold,prob_sell,override_triggered,final_prediction,override_count,actual_outcome,entry_price,exit_price,days_held,prob_asymmetry,max_directional,neutral_dominance
2026-01-11T23:56:35.380276,COST,0.000141,0.999748,0.000111,False,hold,0,,891.8300170898438,,,0.000030,0.000141,0.999606
2026-01-11T23:56:35.535343,CRM,0.000558,0.999177,0.000265,False,hold,0,,262.25,,,0.000293,0.000558,0.998619
2026-01-11T23:56:35.674908,CVX,0.001720,0.996318,0.001962,False,hold,0,,157.10000610351562,,,0.000242,0.001962,0.994356
2026-01-11T23:56:35.809010,DE,0.000184,0.999449,0.000367,True,hold,1,,486.1549987792969,,,0.000183,0.000367,0.999081
2026-01-11T23:56:35.965296,DIS,0.001771,0.995224,0.003005,True,hold,1,,114.58000183105469,,,0.001234,0.003005,0.992220
2026-01-11T23:56:36.104377,GOOGL,0.016996,0.981962,0.001042,True,hold,1,,313.19000244140625,,,0.015953,0.016996,0.964966
2026-01-11T23:56:36.272682,GS,0.000279,0.999601,0.000120,False,hold,0,,956.4099731445312,,,0.000159,0.000279,0.999323
2026-01-11T23:56:36.428091,HD,0.001728,0.997772,0.000500,True,hold,2,,350.5174865722656,,,0.001228,0.001728,0.996044
2026-01-11T23:56:36.587200,HON,0.000510,0.999348,0.000142,False,hold,0,,204.97999572753906,,,0.000367,0.000510,0.998838
2026-01-11T23:56:36.757281,JNJ,0.000414,0.998367,0.001220,False,hold,0,,205.0800018310547,,,0.000806,0.001220,0.997147
2026-01-11T23:56:36.907398,JPM,0.000124,0.999782,0.000093,True,hold,1,,335.2795104980469,,,0.000031,0.000124,0.999658
2026-01-11T23:56:37.051117,KO,0.000240,0.995188,0.004572,False,hold,0,,67.80500030517578,,,0.004333,0.004572,0.990616
2026-01-11T23:56:37.225514,LIN,0.000327,0.997454,0.002218,False,hold,0,,438.8949890136719,,,0.001891,0.002218,0.995236
2026-01-11T23:56:37.370648,MCD,0.000189,0.999657,0.000154,False,hold,0,,303.0450134277344,,,0.000036,0.000189,0.999468
2026-01-11T23:56:37.517217,META,0.000134,0.999788,0.000078,True,hold,1,,659.3328247070312,,,0.000057,0.000134,0.999654
2026-01-11T23:56:37.667302,MRK,0.001814,0.996683,0.001503,True,hold,1,,109.08999633789062,,,0.000312,0.001814,0.994869
2026-01-11T23:56:37.799377,MS,0.001211,0.998338,0.000451,True,hold,1,,188.07000732421875,,,0.000760,0.001211,0.997127
2026-01-11T23:56:37.949450,MSFT,0.004612,0.994511,0.000877,False,hold,0,,477.260009765625,,,0.003735,0.004612,0.989899
2026-01-11T23:56:38.067158,NEE,0.000603,0.996940,0.002456,False,hold,0,,81.16999816894531,,,0.001853,0.002456,0.994484
2026-01-11T23:56:38.189687,NEM,0.000687,0.998812,0.000502,False,hold,0,,109.01000213623047,,,0.000185,0.000687,0.998125
2026-01-11T23:56:38.343130,NVDA,0.001205,0.997494,0.001301,True,hold,1,,187.36900329589844,,,0.000096,0.001301,0.996193
2026-01-11T23:56:38.493364,PG,0.000230,0.999536,0.000234,True,hold,1,,139.60000610351562,,,0.000004,0.000234,0.999302
2026-01-11T23:56:38.613410,PLD,0.000824,0.998325,0.000851,True,hold,1,,127.7699966430664,,,0.000027,0.000851,0.997474
2026-01-11T23:56:38.756479,SLB,0.006233,0.988250,0.005517,True,hold,1,,43.915000915527344,,,0.000717,0.006233,0.982016
2026-01-11T23:56:38.892055,UNH,0.000166,0.999724,0.000109,True,hold,1,,350.9100036621094,,,0.000057,0.000166,0.999558
2026-01-11T23:56:39.019119,UPS,0.000278,0.999569,0.000153,False,hold,0,,104.94999694824219,,,0.000125,0.000278,0.999291
2026-01-11T23:56:39.157687,XOM,0.000766,0.995051,0.004183,False,hold,0,,121.74500274658203,,,0.003417,0.004183,0.990869
2026-01-13T11:26:40.648831,AAPL,0.000335,0.999547,0.000118,True,hold,1,,260.2088928222656,,,0.000217,0.000335,0.999211
2026-01-13T11:26:40.855484,ABBV,0.003237,0.995288,0.001475,False,hold,0,,219.01499938964844,,,0.001762,0.003237,0.992051
2026-01-13T11:26:41.060872,ADBE,0.549293,0.447906,0.002800,True,buy,4,,313.55999755859375,,,0.546493,0.549293,-0.101387
2026-01-13T11:26:41.269221,AMD,0.009682,0.987823,0.002495,False,hold,0,,220.9477996826172,,,0.007187,0.009682,0.978141
2026-01-13T11:26:41.465464,AMT,0.004289,0.992633,0.003078,True,hold,1,,170.27000427246094,,,0.001210,0.004289,0.988344
2026-01-13T11:26:41.670097,AMZN,0.000398,0.999435,0.000166,True,hold,1,,244.14999389648438,,,0.000232,0.000398,0.999037
2026-01-13T11:26:41.861120,BAC,0.003443,0.994848,0.001708,False,hold,0,,54.67499923706055,,,0.001735,0.003443,0.991405
2026-01-13T11:26:42.047214,BRK-B,0.000188,0.999719,0.000093,False,hold,0,,494.1510925292969,,,0.000096,0.000188,0.999530
2026-01-13T11:26:42.225536,CAT,0.000468,0.999426,0.000106,False,hold,0,,638.6300048828125,,,0.000362,0.000468,0.998958
2026-01-13T11:26:42.432330,COST,0.000219,0.997443,0.002337,False,hold,0,,937.4420776367188,,,0.002118,0.002337,0.995106
2026-01-13T11:26:42.625959,CRM,0.987717,0.010769,0.001514,True,buy,6,,246.23500061035156,,,0.986204,0.987717,-0.976949
2026-01-13T11:26:42.807250,CVX,0.000192,0.999689,0.000119,False,hold,0,,164.97999572753906,,,0.000073,0.000192,0.999497
2026-01-13T11:26:42.996316,DE,0.000149,0.999709,0.000142,False,hold,0,,493.57501220703125,,,0.000007,0.000149,0.999560
2026-01-13T11:26:43.177414,DIS,0.005132,0.992398,0.002470,True,hold,1,,111.83350372314453,,,0.002662,0.005132,0.987266
2026-01-13T11:26:43.343490,DUK,0.001420,0.997726,0.000854,False,hold,0,,116.38999938964844,,,0.000566,0.001420,0.996306
2026-01-13T11:26:43.514108,GOOGL,0.000977,0.997937,0.001086,True,hold,1,,339.65869140625,,,0.000109,0.001086,0.996852
2026-01-13T11:26:43.688436,GS,0.000103,0.999815,0.000081,True,hold,1,,941.5900268554688,,,0.000022,0.000103,0.999712
2026-01-13T11:26:43.870133,HD,0.000118,0.999720,0.000163,True,hold,1,,375.30999755859375,,,0.000045,0.000163,0.999557
2026-01-13T11:26:44.090601,HON,0.000235,0.999611,0.000155,False,hold,0,,210.2624969482422,,,0.000080,0.000235,0.999376
2026-01-13T11:26:44.275361,JNJ,0.000875,0.998942,0.000183,True,hold,1,,213.22999572753906,,,0.000692,0.000875,0.998067
2026-01-13T11:26:44.452489,JPM,0.002559,0.997096,0.000345,True,hold,1,,313.75,,,0.002214,0.002559,0.994537
2026-01-13T11:26:44.623462,KO,0.000475,0.999236,0.000289,True,hold,1,,70.40499877929688,,,0.000186,0.000475,0.998761
2026-01-13T11:26:44.817689,LIN,0.001928,0.997956,0.000116,True,hold,1,,440.9549865722656,,,0.001811,0.001928,0.996029
2026-01-13T11:26:45.017347,MCD,0.000181,0.999720,0.000099,False,hold,0,,306.7099914550781,,,0.000082,0.000181,0.999538
2026-01-13T11:26:45.247322,META,0.004680,0.992550,0.002770,True,hold,2,,627.5700073242188,,,0.001910,0.004680,0.987871
2026-01-13T11:26:45.434197,MRK,0.001149,0.998439,0.000412,True,hold,1,,108.11499786376953,,,0.000737,0.001149,0.997291
2026-01-13T11:26:45.611127,MS,0.001175,0.997615,0.001210,False,hold,0,,183.4149932861328,,,0.000035,0.001210,0.996405
2026-01-13T11:26:45.780861,MSFT,0.000589,0.999297,0.000114,True,hold,2,,468.7550048828125,,,0.000475,0.000589,0.998709
2026-01-13T11:26:45.994492,NEE,0.000778,0.998432,0.000790,False,hold,0,,80.93499755859375,,,0.000013,0.000790,0.997642
